Strike,ContractID_Call,LastTrTime_Call,LastPr_Call,Bid_Call,Ask_Call,PrChg_Call,PrChgPct_Call,Vol_Call,OI_Call,ImplVol_Call,ContractID_Put,LastTrTime_Put,LastPr_Put,Bid_Put,Ask_Put,PrChg_Put,PrChgPct_Put,Vol_Put,OI_Put,ImplVol_Put
4000,SPXW241010C04000000,2024-09-20,1697.55,1729.1,1750.8,0,0.00%,1,1,82.86%,SPXW241010P04000000,2024-09-24,0.5,0.45,0.65,0.06,13.64%,92,119,60.52%
4900,SPXW241010C04900000,2024-09-18,742.47,834.5,851.9,0,0.00%,1,1,50.26%,SPXW241010P04900000,2024-09-24,1.75,1.6,1.85,-0.05,-2.78%,2,322,33.07%
5000,SPXW241010C05000000,2024-09-20,702.05,735,752.4,0,0.00%,1,1,45.44%,SPXW241010P05000000,2024-09-24,2.02,1.85,2.15,-0.22,-9.82%,2,235,29.98%
5150,SPXW241010C05150000,2024-09-16,508.42,586.1,603.8,0,0.00%,NA,1,38.45%,SPXW241010P05150000,2024-09-19,4.52,2.5,2.75,0,0.00%,53,163,25.27%
5200,SPXW241010C05200000,2024-09-19,535.32,535,555.8,0,0.00%,7,9,36.77%,SPXW241010P05200000,2024-09-24,3.02,2.8,3.1,-0.38,-11.18%,4,200,23.80%
5250,SPXW241010C05250000,2024-09-11,320.04,485.6,506.4,0,0.00%,NA,1,34.36%,SPXW241010P05250000,2024-09-24,3.6,3.2,3.5,-0.5,-12.20%,7,419,22.29%
5260,SPXW241010C05260000,2024-09-16,400.52,477.4,494.9,0,0.00%,NA,1,33.18%,SPXW241010P05260000,2024-09-16,12.28,3.3,3.7,0,0.00%,3,14,22.11%
5270,SPXW241010C05270000,2024-09-16,391.17,467.5,484.7,0,0.00%,NA,1,32.56%,SPXW241010P05270000,2024-09-24,4.2,3.4,3.8,-2,-32.26%,1,1,21.81%
5300,SPXW241010C05300000,2024-09-10,255.39,439.4,457.1,0,0.00%,NA,1,31.96%,SPXW241010P05300000,2024-09-24,4.2,3.8,4.1,-0.7,-14.29%,4,216,20.89%
5350,SPXW241010C05350000,2024-09-16,303.68,390.4,408,0,0.00%,1,4,29.57%,SPXW241010P05350000,2024-09-24,4.98,4.7,4.9,-1.04,-17.28%,4,274,19.51%
5360,SPXW241010C05360000,2024-09-16,294.73,0,0,0,0.00%,1,2,0.00%,SPXW241010P05360000,2024-09-20,5.23,4.8,5.3,-2.76,-34.54%,2,25,19.39%
5370,SPXW241010C05370000,2024-09-17,299.86,0,0,0,0.00%,2,1,0.00%,SPXW241010P05370000,2024-09-19,10.89,5,5.5,0,0.00%,2,5,19.11%
5375,SPXW241010C05375000,2024-09-11,149.6,0,0,0,0.00%,NA,1,0.00%,SPXW241010P05375000,2024-09-13,24.24,5.1,5.6,0,0.00%,16,18,18.97%
5380,SPXW241010C05380000,2024-09-10,185.31,0,0,0,0.00%,NA,20,0.00%,SPXW241010P05380000,2024-09-17,18.96,5.3,5.8,0,0.00%,2,3,18.89%
5390,SPXW241010C05390000,2024-09-10,158.93,0,0,0,0.00%,NA,1,0.00%,SPXW241010P05390000,2024-09-23,8,5.5,5.9,0,0.00%,1,81,18.52%
5400,SPXW241010C05400000,2024-09-09,154.44,341.9,359.3,0,0.00%,NA,1,27.24%,SPXW241010P05400000,2024-09-24,6.3,5.9,6.3,-1.2,-16.00%,7,180,18.35%
5420,SPXW241010C05420000,2024-09-10,137.7,0,0,0,0.00%,NA,1,0.00%,SPXW241010P05420000,2024-09-23,8.6,6.4,7,0,0.00%,5,25,17.89%
5425,SPXW241010C05425000,2024-09-17,247.85,317.8,335.1,0,0.00%,1,0,26.09%,SPXW241010P05425000,2024-09-24,9.65,6.7,7.1,-2.39,-19.85%,25,128,17.72%
5430,SPXW241010C05430000,2024-09-12,186.18,0,0,0,0.00%,NA,1,0.00%,SPXW241010P05430000,2024-09-23,9.05,6.8,7.3,0,0.00%,5,12,17.61%
5440,SPXW241010C05440000,2024-09-19,280.36,0,0,0,0.00%,1,4,0.00%,SPXW241010P05440000,2024-09-24,9.02,7.3,7.7,-0.51,-5.35%,5,169,17.38%
5450,SPXW241010C05450000,2024-09-11,155.55,293.9,311.1,0,0.00%,NA,353,24.97%,SPXW241010P05450000,2024-09-24,8.5,7.7,8.1,-1.4,-14.14%,30,429,17.13%
5460,SPXW241010C05460000,2024-09-20,252.85,0,0,0,0.00%,1,8,0.00%,SPXW241010P05460000,2024-09-19,14.9,8,8.6,0,0.00%,1,24,16.91%
5470,SPXW241010C05470000,2024-09-24,278.54,0,0,6.62,2.43%,1,3,0.00%,SPXW241010P05470000,2024-09-12,43.8,8.5,9.1,0,0.00%,NA,27,16.68%
5475,SPXW241010C05475000,2024-09-18,210.98,270.2,286.7,0,0.00%,1,3,23.69%,SPXW241010P05475000,2024-09-23,12.25,8.9,9.3,0,0.00%,2,239,16.54%
5480,SPXW241010C05480000,2024-09-10,116.1,0,0,0,0.00%,NA,2,0.00%,SPXW241010P05480000,2024-09-12,45.9,9,9.6,0,0.00%,NA,16,16.44%
