"call_last_pr_values","call_last_pr_values","call_last_pr_values","call_last_pr_values","call_last_pr_values","call_last_pr_values","call_last_pr_values","call_last_pr_values","call_last_pr_values","call_last_pr_values","call_last_pr_values"
1697.55,1697.55,1697.55,1697.55,1697.55,1697.55,1697.55,1697.55,1697.55,1697.55,1697.55
742.47,742.47,742.47,742.47,742.47,742.47,742.47,742.47,742.47,742.47,742.47
702.05,702.05,702.05,702.05,702.05,702.05,702.05,702.05,702.05,702.05,702.05
508.42,508.42,508.42,508.42,508.42,508.42,508.42,508.42,508.42,508.42,508.42
535.32,535.32,535.32,535.32,553.6,539.7,539.7,539.7,539.7,538.3,538.3
320.04,320.04,320.04,320.04,320.04,490.15,490.15,490.15,490.15,490.15,490.15
400.52,400.52,400.52,400.52,400.52,480.3,480.3,480.3,480.3,480.3,480.3
391.17,391.17,391.17,391.17,391.17,391.17,391.17,391.17,391.17,391.17,391.17
255.39,255.39,255.39,255.39,255.39,255.39,255.39,255.39,449.15,449.15,449.15
303.68,303.68,303.68,303.68,303.68,303.68,303.68,303.68,399.32,399.32,399.32
294.73,294.73,294.73,294.73,294.73,294.73,294.73,294.73,294.73,294.73,294.73
299.86,299.86,299.86,299.86,299.86,299.86,299.86,299.86,299.86,299.86,299.86
149.6,149.6,149.6,149.6,149.6,149.6,149.6,149.6,149.6,149.6,149.6
185.31,185.31,185.31,185.31,185.31,185.31,185.31,185.31,185.31,185.31,185.31
158.93,158.93,158.93,158.93,158.93,158.93,158.93,158.93,158.93,158.93,158.93
154.44,154.44,154.44,154.44,154.44,154.44,154.44,154.44,349.79,349.79,349.79
137.7,137.7,137.7,137.7,137.7,137.7,137.7,137.7,307.46,307.46,308.06
247.85,247.85,247.85,247.85,247.85,247.85,247.85,247.85,247.85,247.85,247.85
186.18,186.18,186.18,186.18,186.18,186.18,186.18,186.18,186.18,186.18,186.18
280.36,280.36,280.36,280.36,280.36,280.36,280.36,280.36,280.36,289.95,289.95
155.55,155.55,155.55,155.55,155.55,155.55,155.55,155.55,277.89,281.11,279.62
252.85,252.85,252.85,252.85,252.85,252.85,252.85,252.85,283.87,283.6,283.6
271.92,278.54,278.54,278.54,291.99,291.99,291.99,232.36,258.6,258.6,258.6
210.98,210.98,210.98,282.57,282.77,274.56,274.56,230.49,230.49,277.68,277.68
116.1,116.1,116.1,116.1,116.1,116.1,239.71,239.71,239.71,239.71,245.16
198.47,198.47,198.47,198.47,198.47,246.61,246.61,246.61,246.61,240.28,240.28
246.53,246.53,246.53,246.53,246.53,235.94,226.07,203.55,203.55,203.55,230.56
207.95,228.72,228.72,228.72,228.72,228.72,228.72,228.72,235.99,190,190
